,tragedy_id,tragedy_title,id,betweenness,degree,closeness,weightedDegree,eigenvector,numOfScenes,numOfSpeechActs,numOfWords,degree_rank,closeness_rank,betweenness_rank,weightedDegree_rank,eigenvector_rank,numOfScenes_rank,numOfSpeechActs_rank,numOfWords_rank,centrality_rank_avg,centrality_rank_std,centrality_rank_avg_rank,centrality_rank_std_rank
91,greek000030,Phoenissae,teiresias,0.0,3,0.5555555555555556,3,0.19555718775604836,1,20,605,8.0,9.0,7.0,8.0,8.0,7.0,8.0,8.0,7.875,0.6408699444616557,9.0,1.0
92,greek000030,Phoenissae,menoikeus,0.0,3,0.5555555555555556,3,0.19555718775604836,1,8,240,8.0,9.0,7.0,8.0,8.0,7.0,11.0,11.0,8.625,1.5979898086569353,10.0,7.0
93,greek000030,Phoenissae,angelos,0.012962962962962963,5,0.6666666666666666,7,0.3391293817403797,2,18,1740,5.0,5.0,6.0,5.0,4.0,5.0,9.0,1.0,5.0,2.2038926600773587,5.0,11.0
94,greek000030,Phoenissae,oidipous,0.0,4,0.625,4,0.28863027695904614,1,27,465,6.0,6.0,7.0,6.0,6.0,7.0,7.0,9.0,6.75,1.0350983390135313,7.0,3.0
95,greek000023,Orestes,elektra,0.09393939393939393,7,0.7333333333333333,15,0.34142367987530653,8,88,1995,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.625,0.5175491695067657,3.0,2.0
96,greek000023,Orestes,helene,0.0,4,0.6111111111111112,5,0.25644192704321,2,15,251,6.0,6.0,6.0,6.0,6.0,4.0,7.0,10.0,6.375,1.685018016012207,6.0,8.0
97,greek000023,Orestes,choros,0.3909090909090909,11,1.0,23,0.47223432536366233,13,46,848,1.0,1.0,1.0,1.0,1.0,1.0,5.0,4.0,1.875,1.6420805617960927,1.0,7.0
98,greek000023,Orestes,orestes,0.16363636363636364,9,0.8461538461538461,18,0.4317061309480283,6,188,3005,2.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,1.875,0.6408699444616557,1.0,3.0
99,greek000023,Orestes,menelaos,0.01212121212121212,5,0.6470588235294118,7,0.2845920617872045,2,77,941,4.0,4.0,4.0,4.0,5.0,4.0,3.0,3.0,3.875,0.6408699444616557,4.0,3.0
100,greek000023,Orestes,tyndareos,0.0,4,0.6111111111111112,4,0.25499211262824223,1,8,554,6.0,6.0,6.0,7.0,8.0,7.0,8.0,8.0,7.0,0.9258200997725514,7.0,5.0
101,greek000023,Orestes,pylades,0.01212121212121212,5,0.6470588235294118,7,0.30478913098706367,2,71,761,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.125,0.3535533905932738,5.0,1.0
102,greek000023,Orestes,angelos,0.0,2,0.55,2,0.13893680962085206,1,3,585,10.0,10.0,6.0,10.0,11.0,7.0,11.0,7.0,9.0,2.0,11.0,11.0
103,greek000023,Orestes,hemichoros,0.0,2,0.55,2,0.13893680962085206,1,6,65,10.0,10.0,6.0,10.0,11.0,7.0,10.0,11.0,9.375,1.8468119248354136,12.0,10.0
104,greek000023,Orestes,ermione,0.0,4,0.6111111111111112,4,0.25644192704321,1,8,65,6.0,6.0,6.0,7.0,6.0,7.0,8.0,11.0,7.125,1.7268882005337975,8.0,9.0
105,greek000023,Orestes,phryx,0.0,2,0.55,2,0.15435264339189797,1,18,695,10.0,10.0,6.0,10.0,10.0,7.0,6.0,6.0,8.125,2.03100960115899,9.0,12.0
106,greek000023,Orestes,apollon,0.0,3,0.5789473684210527,3,0.20294792243154666,1,3,297,9.0,9.0,6.0,9.0,9.0,7.0,11.0,9.0,8.625,1.5059406173077154,10.0,6.0
107,greek000002,Iphigenia in Tauris,iphigeneia,0.11904761904761904,5,0.7777777777777778,10,0.4205971811384174,5,168,3148,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.75,0.4629100498862757,2.0,1.0
108,greek000002,Iphigenia in Tauris,orestes,0.0,3,0.6363636363636364,5,0.3038381172748568,2,115,1825,4.0,4.0,4.0,3.0,4.0,3.0,2.0,2.0,3.25,0.8864052604279183,3.0,2.0
109,greek000002,Iphigenia in Tauris,pylades,0.0,3,0.6363636363636364,5,0.3038381172748568,2,22,437,4.0,4.0,4.0,3.0,4.0,3.0,5.0,7.0,4.25,1.2817398889233114,5.0,6.0
110,greek000002,Iphigenia in Tauris,choros,0.45238095238095233,7,1.0,11,0.5325381053070712,8,30,1094,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,1.625,1.1877349391654208,1.0,5.0
111,greek000002,Iphigenia in Tauris,boukolos,0.0,2,0.5833333333333334,2,0.23039397941929124,1,8,519,8.0,8.0,4.0,8.0,8.0,6.0,7.0,5.0,6.75,1.5811388300841898,8.0,7.0
112,greek000002,Iphigenia in Tauris,thoas,0.047619047619047616,4,0.7,5,0.3693938814132453,2,51,440,3.0,3.0,3.0,3.0,3.0,3.0,3.0,6.0,3.375,1.0606601717798212,4.0,3.0
113,greek000002,Iphigenia in Tauris,angelos,0.0,3,0.6363636363636364,3,0.28751760747640576,1,11,712,4.0,4.0,4.0,6.0,6.0,6.0,6.0,4.0,5.0,1.0690449676496976,6.0,4.0
114,greek000002,Iphigenia in Tauris,athena,0.0,3,0.6363636363636364,3,0.28751760747640576,1,2,268,4.0,4.0,4.0,6.0,6.0,6.0,8.0,8.0,5.75,1.6690459207925603,7.0,8.0
115,greek000028,Iphigenia in Aulis,agamemnon,0.15740740740740738,9,1.0,17,0.4157377532157244,5,95,1990,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.375,0.5175491695067657,1.0,2.0
116,greek000028,Iphigenia in Aulis,presbytes,0.037037037037037035,6,0.75,8,0.3023038247892284,3,40,451,4.0,4.0,3.0,5.0,6.0,5.0,5.0,8.0,5.0,1.5118578920369088,6.0,9.0
